STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980604,73, , ,0,2400,54, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980604,75, , ,0,1800,57, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980604,72, ,I,0,1700,61, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980604,70, , ,0,1700,55, , ,0,1700
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980604,76, , ,0,2400,52, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980605,73, , ,0,2400,55, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980605,70, , ,0,1800,58, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980605,87, , ,0,1700,55, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980605,67, , ,0,1700,56, , ,0,1700
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980605,72, , ,0,2400,50, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980606,71, , ,0,2400,52, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980606,69, , ,0,1800,57, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980606,87, , ,0,1700,56, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980606,71, , ,0,1700,53, , ,0,1700
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980606,74, , ,0,2400,50, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980607,69, , ,0,2400,50, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980607,67, , ,0,1800,53, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980607,86, , ,0,1700,51, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980607,66, , ,0,1700,50, , ,0,1700
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980607,71, , ,0,2400,49, , ,0,2400
GHCND:USC00185111,LAUREL 3 W MD US,121.9,39.1,-76.9,19980608,73, , ,0,2400,54, , ,0,2400
GHCND:USC00185080,LA PLATA MD US,42.7,38.53333,-77,19980608,72, , ,0,1800,53, , ,0,1800
GHCND:USC00180193,ANNAPOLIS POLICE BAR MD US,7.6,38.98333,-76.5,19980608,86, , ,0,1700,56, , ,0,1700
GHCND:USC00187705,ROCKVILLE 1 NE MD US,134.1,39.1,-77.1,19980608,72, , ,0,1700,52, , ,0,1700
GHCND:USC00448737,VIENNA VA US,127.4,38.88333,-77.25,19980608,66, , ,0,1900,-9999, , , ,9999
GHCND:USW00093721,BALTIMORE WASHINGTON INTERNATIONAL AIRPORT MD US,47.5,39.16667,-76.68333,19980608,76, , ,0,2400,52, , ,0,2400
